TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
137,8811,64.31387,-9.686131,80,0.3559037
138,8859,64.19566,-9.557971,80,0.3548803
139,8906,64.07195,-9.568345,80,0.3543986
140,8951,63.93571,-9.45,80,0.3548
141,8997,63.80851,-9.539007,80,0.3544634
142,9044,63.69014,-9.267606,80,0.3542302
143,9090,63.56643,-9.188811,80,0.3532299
144,9123,63.35417,-9.159722,80,0.3530014
145,9163,63.1931,-8.765517,80,0.3517933
146,9205,63.04795,-8.773973,80,0.3519718
147,9249,62.91837,-8.632653,80,0.3521749
148,9287,62.75,-8.398648,80,0.3506287
149,9320,62.55033,-8.322147,80,0.3491819
150,9354,62.36,-8.493333,80,0.3496004
151,9389,62.17881,-8.483443,80,0.3501218
152,9434,62.06579,-8.276316,80,0.3498271
153,9480,61.96078,-8.20915,80,0.349265
154,9527,61.86364,-7.967533,80,0.348287
155,9574,61.76774,-8.03871,80,0.3480414
156,9620,61.66667,-8.230769,80,0.3479272
157,9663,61.54777,-8.070064,80,0.3469678
158,9693,61.3481,-7.955696,80,0.3469028
159,9736,61.2327,-7.798742,80,0.3461165
160,9780,61.125,-7.625,80,0.3449772
161,9821,61,-7.608696,80,0.3446688
162,9862,60.87654,-7.592593,80,0.3451025
163,9904,60.76073,-7.509202,80,0.345155
164,9947,60.65244,-7.359756,80,0.3447407
165,9992,60.55758,-7.321212,80,0.3450195
166,10036,60.45783,-7.253012,80,0.346009
167,10077,60.34132,-7.191617,80,0.3460917
168,10120,60.23809,-7.142857,80,0.345038
169,10163,60.13609,-7,80,0.3449993
170,10205,60.02941,-7.158823,80,0.3457047
171,10247,59.92398,-7.175438,80,0.3456636
172,10285,59.79651,-7.02907,80,0.3449267
173,10325,59.68208,-6.942196,80,0.3449869
174,10364,59.56322,-7.057471,80,0.3449021
175,10404,59.45143,-7.154286,80,0.3453539
176,10444,59.34091,-7.022727,80,0.3448092
177,10483,59.22599,-6.909605,80,0.3446186
178,10522,59.11236,-6.932584,80,0.3447511
179,10561,59,-7.134078,80,0.3451627
180,10600,58.88889,-7.155556,80,0.3443074
181,10640,58.78453,-7.292818,80,0.3448857
182,10677,58.66484,-7.17033,80,0.3440981
183,10712,58.53552,-7.125683,80,0.3433211
184,10751,58.42935,-7.016304,80,0.3438465
185,10790,58.32433,-7.037838,80,0.3438289
186,10830,58.22581,-6.956989,80,0.3445448
187,10869,58.12299,-7.02139,80,0.3447569
188,10908,58.02128,-7.12766,80,0.3444136
189,10947,57.92064,-7.063492,80,0.3443024
190,10986,57.82105,-7.210526,80,0.3437918
191,11025,57.72251,-7.104712,80,0.3435959
192,11064,57.625,-7.166667,80,0.3445111
193,11103,57.5285,-7.310881,80,0.3453717
194,11142,57.43299,-7.164948,80,0.3448443
195,11181,57.33846,-7.14359,80,0.3444789
196,11220,57.2449,-7.163265,80,0.3447077
197,11258,57.14721,-7.157361,80,0.34405
198,11296,57.05051,-7.232323,80,0.3437625
199,11333,56.94975,-7.120603,80,0.3432657
200,11370,56.85,-7.13,80,0.3430471
201,11406,56.74627,-6.915423,80,0.3432184
202,11444,56.65347,-6.712871,80,0.3422435
203,11480,56.55172,-6.581281,80,0.3412264
204,11512,56.43137,-6.588235,80,0.3405662
205,11548,56.33171,-6.458537,80,0.3410056
206,11586,56.24272,-6.145631,80,0.3417572
207,11623,56.14976,-6.15942,80,0.3417555
208,11660,56.05769,-6.019231,80,0.3417916
209,11697,55.96651,-5.880383,80,0.342123
210,11734,55.87619,-5.971428,80,0.34261
211,11771,55.78673,-5.834123,80,0.3423944
212,11809,55.70283,-5.721698,80,0.3423944
213,11846,55.61502,-5.474178,80,0.3427048
214,11882,55.52337,-5.542056,80,0.3436175
215,11919,55.43721,-5.483721,80,0.342769
216,11955,55.34722,-5.328704,80,0.3419699
