TotalEpisodes,TotalSteps,AverageStepsPerEpisode,AverageRewardPerEpisode,HighestReward, ConvergenceQValue
142,9449,66.54225,-6.338028,94,1.638734
143,9496,66.40559,-6.426573,94,1.640791
144,9542,66.26389,-6.368055,94,1.638772
145,9583,66.08965,-6.303448,94,1.636246
146,9627,65.93835,-6.178082,94,1.632951
147,9670,65.78231,-6.238095,94,1.630612
148,9713,65.62838,-6.351351,94,1.628275
149,9758,65.48993,-6.261745,94,1.62765
150,9801,65.34,-6.373333,94,1.626097
151,9848,65.21854,-6.245033,94,1.626555
152,9890,65.06579,-6.269737,94,1.629998
153,9935,64.93464,-6.235294,94,1.632073
154,9978,64.79221,-6.188312,94,1.633437
155,10021,64.65161,-6.296774,94,1.632321
156,10065,64.51923,-6.333333,94,1.63147
157,10109,64.38853,-6.063694,94,1.628247
158,10153,64.25949,-6,94,1.626104
159,10195,64.1195,-6.176101,94,1.630222
160,10237,63.98125,-6.25,94,1.633203
161,10280,63.85093,-6.204969,94,1.629372
162,10326,63.74074,-6.351852,94,1.629292
163,10371,63.62577,-6.220859,94,1.62708
164,10418,63.52439,-6.29878,94,1.628243
165,10463,63.41212,-6.315152,94,1.630641
166,10501,63.25904,-6.506024,94,1.630522
167,10548,63.16168,-6.628743,94,1.633432
168,10592,63.04762,-6.898809,94,1.635444
169,10637,62.94083,-7.100592,94,1.638995
170,10682,62.83529,-7.111765,94,1.637774
171,10729,62.74269,-7.181286,94,1.635988
172,10771,62.62209,-6.965117,94,1.634596
173,10817,62.52601,-6.728324,94,1.63349
174,10863,62.43103,-6.816092,94,1.636291
175,10910,62.34286,-6.748571,94,1.637087
176,10953,62.23296,-6.75,94,1.637128
177,10997,62.12994,-6.644068,94,1.634725
178,11040,62.02247,-6.870787,94,1.639947
179,11070,61.84357,-6.910614,94,1.634246
180,11100,61.66667,-6.95,94,1.631096
181,11141,61.55249,-6.895028,94,1.629556
182,11183,61.44505,-6.692307,94,1.62811
183,11228,61.35519,-6.617486,94,1.628025
184,11273,61.2663,-6.717391,94,1.630909
185,11312,61.14595,-6.740541,94,1.630132
186,11349,61.01613,-6.83871,94,1.630364
187,11384,60.87701,-6.796792,94,1.629745
188,11424,60.76596,-6.973404,94,1.632624
189,11465,60.66138,-6.962963,94,1.632763
190,11505,60.55263,-7.094737,94,1.63663
191,11545,60.44503,-6.931937,94,1.636606
192,11585,60.33854,-6.770833,94,1.631951
193,11625,60.23316,-6.860104,94,1.634748
194,11665,60.12886,-6.783505,94,1.632911
195,11704,60.02051,-6.764102,94,1.628017
196,11744,59.91837,-6.607143,94,1.625222
197,11784,59.81726,-6.654822,94,1.626067
198,11823,59.71212,-6.515152,94,1.628837
199,11862,59.60804,-6.537688,94,1.629487
200,11901,59.505,-6.44,94,1.625847
201,11940,59.40298,-6.422885,94,1.624776
202,11979,59.30198,-6.089109,94,1.622228
203,12017,59.19704,-6.128079,94,1.620604
204,12055,59.09314,-5.970588,94,1.620647
205,12092,58.98537,-6.063415,94,1.621768
206,12128,58.87379,-6.092233,94,1.621679
207,12163,58.75845,-5.980676,94,1.619989
208,12200,58.65385,-5.879807,94,1.618733
209,12238,58.55502,-5.803828,94,1.614573
210,12273,58.44286,-5.885714,94,1.61453
211,12309,58.33649,-5.876777,94,1.617554
212,12344,58.22641,-5.731132,94,1.611687
213,12380,58.12207,-5.685446,94,1.612108
214,12415,58.01402,-5.728972,94,1.612685
215,12450,57.90698,-5.660465,94,1.610409
216,12486,57.80556,-5.615741,94,1.609137
217,12520,57.69585,-5.562212,94,1.609176
218,12555,57.59174,-5.495413,94,1.607968
219,12590,57.48858,-5.465754,94,1.605155
220,12624,57.38182,-5.377273,94,1.602251
221,12659,57.28054,-5.348416,94,1.598064
222,12692,57.17117,-5.166667,94,1.596462
223,12727,57.07175,-5.067265,94,1.590875
224,12760,56.96429,-5.03125,94,1.593395
225,12791,56.84889,-5.093333,94,1.594695
226,12825,56.74779,-5.221239,94,1.594131
227,12860,56.65198,-5.15859,94,1.593317
228,12892,56.54386,-5.206141,94,1.594199
229,12927,56.44978,-5.10917,94,1.594375
230,12961,56.35217,-5.2,94,1.594834
231,12996,56.25974,-5.311688,94,1.596133
232,13030,56.16379,-5.400862,94,1.596355
233,13064,56.06867,-5.214592,94,1.598966
234,13098,55.97436,-5.235043,94,1.59665
235,13131,55.87659,-5.33617,94,1.598148
236,13163,55.77542,-5.381356,94,1.597141
237,13196,55.67933,-5.345992,94,1.595224
238,13230,55.58823,-5.264706,94,1.592403
239,13263,55.49372,-5.129707,94,1.588058
240,13297,55.40417,-5.05,94,1.585563
241,13330,55.3112,-4.850622,94,1.581982
242,13364,55.22314,-4.739669,94,1.581443
243,13397,55.13169,-4.674897,94,1.582042
244,13430,55.04099,-4.610656,94,1.578467
245,13463,54.95102,-4.612245,94,1.581471
246,13497,54.86585,-4.504065,94,1.581171
247,13530,54.77733,-4.506073,94,1.580451
248,13561,54.68145,-4.5,94,1.579528
249,13593,54.59036,-4.546185,94,1.580012
250,13626,54.504,-4.452,94,1.577348
251,13659,54.41833,-4.517928,94,1.577135
252,13691,54.32936,-4.436508,94,1.577825
253,13724,54.24506,-4.470356,94,1.578016
254,13757,54.16142,-4.31496,94,1.576591
255,13790,54.07843,-4.192157,94,1.578343
256,13822,53.99219,-4.082031,94,1.580502
257,13855,53.91051,-4.116732,94,1.580768
258,13887,53.82558,-4.03876,94,1.578048
259,13920,53.74517,-4.073359,94,1.577587
260,13952,53.66154,-3.903846,94,1.576718
261,13984,53.57854,-3.827586,94,1.57378
262,14016,53.49618,-3.874046,94,1.574091
263,14047,53.41064,-3.718631,94,1.570882
264,14077,53.32197,-3.69697,94,1.569404
265,14109,53.24151,-3.683019,94,1.569256
266,14140,53.15789,-3.680451,94,1.56829
267,14172,53.07865,-3.636704,94,1.56727
268,14203,52.99627,-3.544776,94,1.564291
269,14232,52.90706,-3.505576,94,1.562592
270,14263,52.82593,-3.503704,94,1.560951
271,14295,52.74908,-3.520295,94,1.560898
272,14327,52.67279,-3.507353,94,1.562852
273,14359,52.59707,-3.465201,94,1.562464
274,14390,52.51825,-3.463504,94,1.56231
275,14422,52.44364,-3.421818,94,1.565018
276,14454,52.36956,-3.293478,94,1.564869
277,14485,52.29242,-3.35018,94,1.564881
278,14517,52.21943,-3.42446,94,1.565293
279,14548,52.14337,-3.451613,94,1.565744
280,14580,52.07143,-3.467857,94,1.565864
281,14610,51.99288,-3.391459,94,1.563895
282,14641,51.91844,-3.276596,94,1.55912
283,14672,51.84452,-3.275618,94,1.557996
284,14703,51.77113,-3.302817,94,1.558402
285,14734,51.69825,-3.329824,94,1.558186
286,14765,51.62587,-3.384615,94,1.558206
287,14793,51.54355,-3.38676,94,1.558458
288,14824,51.47222,-3.385417,94,1.558327
289,14860,51.41869,-3.221453,94,1.555728
290,14900,51.37931,-3.265517,94,1.559363
291,14940,51.34021,-3.391752,94,1.560393
292,14981,51.30479,-3.315068,94,1.560507
293,15022,51.26962,-3.293515,94,1.56099
294,15063,51.2347,-3.326531,94,1.562766
295,15104,51.2,-3.250847,94,1.563946
296,15145,51.16554,-3.283784,94,1.564437
297,15185,51.12794,-3.380471,94,1.56571
298,15225,51.0906,-3.449664,94,1.567101
299,15262,51.04348,-3.494983,94,1.566747
300,15300,51,-3.396667,94,1.564368
301,15340,50.96346,-3.225914,94,1.561165
302,15380,50.92715,-3.268212,94,1.561629
303,15420,50.89109,-3.363036,94,1.562907
304,15460,50.85526,-3.404605,94,1.561684
305,15500,50.81967,-3.340984,94,1.559734
306,15537,50.77451,-3.411765,94,1.560485
307,15577,50.73941,-3.452769,94,1.561839
308,15616,50.7013,-3.425325,94,1.562832
309,15654,50.66019,-3.459547,94,1.562921
310,15691,50.61613,-3.529032,94,1.562677
311,15729,50.57556,-3.562701,94,1.562959
312,15766,50.53205,-3.657051,94,1.564322
313,15803,50.48882,-3.699681,94,1.565115
314,15840,50.44586,-3.716561,94,1.565161
315,15877,50.40318,-3.631746,94,1.564809
316,15914,50.36076,-3.547468,94,1.563504
317,15950,50.31546,-3.548896,94,1.56383
318,15988,50.27673,-3.430818,94,1.563539
319,16025,50.23511,-3.498433,94,1.565928
320,16061,50.19062,-3.475,94,1.565194
321,16098,50.14953,-3.367601,94,1.563694
322,16134,50.10559,-3.295031,94,1.562363
323,16170,50.06192,-3.148607,94,1.561145
324,16206,50.01852,-3.25,94,1.56305
325,16242,49.97538,-3.227692,94,1.565093
